model,run_type,tag,view,chem,n_seeds,seeds,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_mape_mean,test_mape_std,test_15_accuracy_mean,test_15_accuracy_std,test_10_accuracy_mean,test_10_accuracy_std,test_seen_mape_mean,test_seen_mape_std,test_unseen_mape_mean,test_unseen_mape_std,val_mape_mean,val_mape_std,val_15_accuracy_mean,val_15_accuracy_std
CPMLP,Pooled,base,per-chem-best-val,CALB,3,42 2021 2024,100.096,14.9885,150.8096,25.7359,0.1793,0.0638,58.7366,14.1917,54.7762,14.1378,0.1523,0.0666,0.26,0.1378,0.0787,0.0167,80.4787,11.9465
CPMLP,Pooled,base,per-chem-best-val,Li-ion,3,42 2021 2024,149.5437,3.6131,274.2293,1.4202,0.1767,0.005,61.2511,2.2849,46.9008,2.5705,0.152,0.0032,0.216,0.0079,0.2503,0.0059,63.998,0.6766
CPMLP,Pooled,base,per-chem-best-val,Na-ion,3,42 2021 2024,54.9137,8.1677,62.74,4.7286,0.3529,0.057,21.3333,12.9185,13.7333,9.8215,0.2684,0.0893,0.4795,0.0298,0.1996,0.0822,54.0,21.2293
CPMLP,Pooled,base,per-chem-best-val,Zn-ion,3,42 2021 2024,205.3256,11.3055,367.2013,17.9503,0.4963,0.051,22.1632,10.1085,16.0921,8.3695,0.4848,0.0473,0.5795,0.1752,0.492,0.0697,24.2167,8.6924
CPMLP,Pooled,base,single-checkpoint,CALB,3,42 2021 2024,122.5181,33.8377,178.2794,36.2445,0.1825,0.0551,58.5336,15.9747,42.8941,16.9573,0.1436,0.0868,0.2742,0.0176,0.1147,0.0323,74.8448,17.7982
CPMLP,Pooled,base,single-checkpoint,Li-ion,3,42 2021 2024,151.3225,3.2133,275.165,5.6661,0.1772,0.0051,61.4156,1.1215,45.4262,0.6455,0.1544,0.0043,0.2135,0.0198,0.2525,0.0043,62.6337,0.9354
CPMLP,Pooled,base,single-checkpoint,Na-ion,3,42 2021 2024,54.8494,8.0801,63.1309,5.2806,0.3593,0.0649,24.6,8.6595,14.3333,8.9834,0.2736,0.0961,0.488,0.03,0.203,0.0778,52.5556,19.2008
CPMLP,Pooled,base,single-checkpoint,Zn-ion,3,42 2021 2024,200.3919,13.7184,347.8707,24.769,0.5332,0.0505,22.4009,9.4405,15.7921,7.7764,0.5366,0.062,0.5354,0.0048,0.5057,0.0556,21.8667,4.5112
CPMLP,Pooled,drop0.05,per-chem-best-val,CALB,3,42 2021 2024,125.1897,45.9763,196.4882,85.105,0.185,0.0455,50.8051,6.6596,45.3027,9.4765,0.1798,0.1116,0.2154,0.0825,0.0969,0.0098,77.2571,12.9803
CPMLP,Pooled,drop0.05,per-chem-best-val,Li-ion,3,42 2021 2024,162.8622,9.7039,287.6502,14.3462,0.1926,0.0038,57.9937,1.5856,43.3755,1.4465,0.1709,0.0022,0.2272,0.0133,0.2515,0.0048,62.7387,4.284
CPMLP,Pooled,drop0.05,per-chem-best-val,Na-ion,3,42 2021 2024,59.6345,9.2469,67.2037,5.2771,0.389,0.0883,21.0,9.672,9.4667,9.0867,0.3268,0.1136,0.4822,0.0524,0.2042,0.0818,46.9444,19.1342
CPMLP,Pooled,drop0.05,per-chem-best-val,Zn-ion,3,42 2021 2024,227.0466,37.6216,367.0424,46.7977,0.6702,0.2121,20.9912,12.4842,13.6447,7.9603,0.6055,0.2114,0.879,0.1645,0.6861,0.1752,21.6,5.7898
CPMLP,Pooled,drop0.05,single-checkpoint,CALB,3,42 2021 2024,138.0191,40.0003,204.0315,89.7237,0.2347,0.0515,51.9546,13.6093,48.6663,15.9681,0.2607,0.0756,0.2216,0.1326,0.1184,0.0201,80.3381,3.6119
CPMLP,Pooled,drop0.05,single-checkpoint,Li-ion,3,42 2021 2024,165.3421,7.4377,291.8903,11.7933,0.1997,0.011,56.6498,2.4057,42.8671,2.2465,0.1816,0.0119,0.2286,0.0134,0.2746,0.0215,57.5411,5.4515
CPMLP,Pooled,drop0.05,single-checkpoint,Na-ion,3,42 2021 2024,56.8698,9.5184,69.0617,6.4241,0.3161,0.0727,18.4,11.9432,11.7333,7.3072,0.2526,0.0992,0.4114,0.0426,0.2519,0.1177,31.3333,23.6177
CPMLP,Pooled,drop0.05,single-checkpoint,Zn-ion,3,42 2021 2024,243.5051,37.6058,378.1605,27.2567,0.7748,0.2553,16.9851,12.7364,10.0851,8.4213,0.7209,0.2509,0.9716,0.2197,0.7327,0.2267,17.7,8.7883
CPMLP,Pooled,drop0.05_wd1e-3,per-chem-best-val,CALB,3,42 2021 2024,125.1897,45.9763,196.4882,85.105,0.185,0.0455,50.8051,6.6596,45.3027,9.4765,0.1798,0.1116,0.2154,0.0825,0.0969,0.0098,77.2571,12.9803
CPMLP,Pooled,drop0.05_wd1e-3,per-chem-best-val,Li-ion,3,42 2021 2024,162.8622,9.7039,287.6502,14.3462,0.1926,0.0038,57.9937,1.5856,43.3755,1.4465,0.1709,0.0022,0.2272,0.0133,0.2515,0.0048,62.7387,4.284
