source,file_name,eol,valid_cycle_number,usable_length
CALB,CALB_0_B182.pkl,108.0,100,100.0
CALB,CALB_0_B183.pkl,105.0,100,100.0
CALB,CALB_0_B184.pkl,176.0,100,100.0
CALB,CALB_0_B185.pkl,161.0,100,100.0
CALB,CALB_0_B187.pkl,189.0,100,100.0
CALB,CALB_0_B188.pkl,123.0,208,123.0
CALB,CALB_0_B189.pkl,164.0,100,100.0
CALB,CALB_0_B190.pkl,104.0,100,100.0
CALB,CALB_25_T25-1.pkl,792.0,99,99.0
CALB,CALB_25_T25-2.pkl,982.0,99,99.0
CALB,CALB_35_B173.pkl,1233.0,99,99.0
CALB,CALB_35_B174.pkl,1272.0,99,99.0
CALB,CALB_35_B175.pkl,1352.0,99,99.0
CALB,CALB_35_B222.pkl,1260.0,99,99.0
CALB,CALB_35_B223.pkl,1267.0,99,99.0
CALB,CALB_35_B224.pkl,1283.0,99,99.0
CALB,CALB_35_B227.pkl,1241.0,99,99.0
CALB,CALB_35_B228.pkl,1243.0,99,99.0
CALB,CALB_35_B229.pkl,1171.0,99,99.0
CALB,CALB_35_B230.pkl,1253.0,99,99.0
CALB,CALB_35_B247.pkl,1411.0,99,99.0
CALB,CALB_35_B248.pkl,1318.0,99,99.0
CALB,CALB_35_B249.pkl,1301.0,99,99.0
CALB,CALB_35_B250.pkl,1260.0,99,99.0
CALB,CALB_45_B253.pkl,981.0,100,100.0
CALB,CALB_45_B255.pkl,993.0,100,100.0
CALB,CALB_45_B256.pkl,987.0,99,99.0
CALCE,CALCE_CS2_33.pkl,473.0,660,473.0
CALCE,CALCE_CS2_34.pkl,448.0,632,448.0
CALCE,CALCE_CS2_35.pkl,518.0,780,518.0
CALCE,CALCE_CS2_36.pkl,487.0,832,487.0
CALCE,CALCE_CS2_37.pkl,538.0,905,538.0
CALCE,CALCE_CS2_38.pkl,568.0,903,568.0
CALCE,CALCE_CX2_16.pkl,828.0,1279,828.0
CALCE,CALCE_CX2_33.pkl,534.0,1271,534.0
CALCE,CALCE_CX2_34.pkl,534.0,1363,534.0
CALCE,CALCE_CX2_35.pkl,739.0,1454,739.0
CALCE,CALCE_CX2_36.pkl,519.0,1568,519.0
CALCE,CALCE_CX2_37.pkl,579.0,1072,579.0
CALCE,CALCE_CX2_38.pkl,590.0,1579,590.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a.pkl,263.0,1086,263.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b.pkl,218.0,1080,218.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c.pkl,255.0,1081,255.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d.pkl,257.0,1081,257.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e.pkl,259.0,1107,259.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f.pkl,239.0,1075,239.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g.pkl,247.0,1082,247.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j.pkl,262.0,1076,262.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l.pkl,228.0,1081,228.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n.pkl,246.0,1082,246.0
